status,review_id,files,visible_product,catalog_candidate,reason,next_action
create_new_confirm,folder02-071,PETE8939.JPG,"Shellfish/scallop-style frozen pack","No exact name readable from photo.","Create only after owner confirms exact species and weight."
create_new,folder02-072,"PETE8940.JPG; PETE8941.JPG","White Swimming Crabmeat Mix","No exact crabmeat mix catalog match.","Create frozen seafood product; mark crustacean allergen."
create_new,folder02-073,PETE8942.JPG,"Frog Legs, 1kg gross / 900g net","No exact frog legs catalog match.","Create frozen seafood/meat product; confirm EAN and policy."
create_new,folder02-074,PETE8945.JPG,"Planets Pride Surimi Maki Sticks 18cm, imitation crab meat, 1kg","No exact surimi maki sticks catalog match.","Create frozen seafood product; confirm allergens."
hold_confirm,folder02-075,PETE8948.JPG,"Shrimp tray / sushi shrimp style pack","No label visible enough for exact SKU.","Hold for owner confirmation."
create_new_confirm,folder02-076,"PETE8949.JPG; PETE8950.JPG","Unagi Kabayaki / grilled eel pack","Catalog has unagi sauces only, not eel meat.","Create frozen/chilled seafood product after confirming brand, weight and EAN."
create_new,folder02-077,PETE8951.JPG,"Asian Choice Apple Snail Meat, likely 530g","No exact apple snail catalog match.","Create frozen seafood product; confirm weight/EAN."
create_new,folder02-078,PETE8952.JPG,"Planets Pride Octopus / Bach tuoc, 1kg gross / 800g net","No exact octopus catalog match.","Create frozen seafood product; confirm EAN."
create_new_confirm,folder02-079,"PETE8953.JPG; PETE8954.JPG","Prepared eel/seafood slices in sauce, label not visible","May be related to unagi product but exact SKU is not safe.","Hold or create only after owner confirms exact product."
hold_confirm,folder02-080,PETE8955.JPG,"Frozen glazed raw seafood, 40/70, exact species unclear","OCR reads frozen glazed raw but species is not reliable.","Hold for owner confirmation."
hold_confirm,folder02-081,"PETE8956.JPG; PETE8957.JPG; PETE8958.JPG","White seafood pieces, likely cuttlefish/squid-style pack","No safe exact product name from photo/OCR.","Hold for owner confirmation."
hold_confirm,folder02-082,"PETE8959.JPG; PETE8960.JPG","Crab/surimi sticks tray without readable label","Could be gallery for a surimi product, but exact SKU is not safe.","Use only after owner confirms SKU grouping."
create_new,folder02-083,"PETE8961.JPG; PETE8962.JPG; PETE8963.JPG","Panga Sum Pangasius skinless fillets, 5kg box","No exact pangasius catalog match.","Create frozen fish product; confirm net/gross weight and EAN."
