id,source_batch,status,files,visible_product,target_sku,candidate_product,confidence,product_url,decision,owner_notes,reason,next_action
"folder14-029","folder14-batch002","ignore_or_supplies","PETE8119.JPG","Person holding an unclear item, no usable product view","","","skip","","skip","ảnh staff, bỏ qua","Photo is not a clean product image and product cannot be identified safely.","Do not import; ask owner for a clean product photo if this represents a sellable item."
"folder14-030","folder14-batch002","hold_confirm","PETE8121.JPG; PETE8122.JPG; PETE8123.JPG; PETE8124.JPG; PETE8125.JPG","Red Chinese/Vietnamese hanging lantern decoration","","","hold","","create_new","ảnh 1","Decorative non-food item; exact size, pack details and whether it is sold online are not confirmed.","Owner should confirm size, price, EAN if any and storefront category before creating SKU."
"folder14-031","folder14-batch002","hold_confirm","PETE8129.JPG; PETE8130.JPG; PETE8131.JPG; PETE8132.JPG","Bamboo steamer baskets/lids, size variants unclear","","","hold","","create_new","ảnh 1 2","May contain multiple sizes or parts; exact diameter and whether photos are one SKU are unclear.","Owner should split by actual SKU and confirm diameter, set contents, price and barcode if any."
"folder14-032","folder14-batch002","hold_confirm","PETE8133.JPG; PETE8134.JPG","Bamboo/plastic rim steamer or lidded basket","","","hold","","create_new","ảnh 2","Kitchenware item; exact size, brand and set contents are unclear.","Owner should confirm whether this is one SKU, with size, price and EAN if any."
"folder14-033","folder14-batch002","hold_confirm","PETE8135.JPG","Plain white ceramic bowl","","","hold","","create_new","","Unlabelled ceramic item with no size, barcode or pack details.","Owner should confirm bowl size, pack count, price and whether ceramics are sold online."
"folder14-034","folder14-batch002","hold_confirm","PETE8136.JPG","Blue-white ceramic rice bowl","","","hold","","create_new","","Unlabelled ceramic item with no size, barcode or pack details.","Owner should confirm size, design name, price and whether ceramics are sold online."
"folder14-035","folder14-batch002","hold_confirm","PETE8137.JPG; PETE8138.JPG; PETE8139.JPG","White ceramic soup spoons with green pattern","","","hold","","create_new","ảnh 2","Unlabelled ceramic item; count, size and barcode are not visible.","Owner should confirm pack count, price and whether this is sold as one spoon or a set."
"folder14-036","folder14-batch002","hold_confirm","PETE8140.JPG","Cast iron oval sizzling plate with wooden base","","","hold","","create_new","","Kitchenware item; size and brand are not visible.","Owner should confirm size, price and whether it is sold online before creating SKU."
"folder14-037","folder14-batch002","hold_confirm","PETE8141.JPG","Cast iron decorative sizzling plate with wooden base","","","hold","","create_new","","Looks like a different sizzling plate variant from folder14-036; size and model are unclear.","Owner should confirm whether this is a separate SKU, with size, price and EAN/brand if any."
"folder14-038","folder14-batch002","hold_confirm","PETE8142.JPG; PETE8154.JPG; PETE8155.JPG; PETE8157.JPG; PETE8160.JPG","Boxed ceremonial / altar paper decoration set, size variants unclear","","","hold","","create_new","ảnh 1","Religious/ceremonial non-food item; appears to include multiple box sizes or variants.","Owner should confirm exact product name, sizes/variants, price and whether this category is sold online."
"folder14-039","folder14-batch002","hold_confirm","PETE8143.JPG; PETE8144.JPG; PETE8145.JPG","Three Chinese/Vietnamese deity figurines set","","","hold","","create_new","ảnh 1","Decorative/religious non-food item; product name, set contents and online category are not confirmed.","Owner should confirm exact name, set contents, price and whether this category should be in storefront."
"folder14-040","folder14-batch002","hold_confirm","PETE8146.JPG; PETE8147.JPG","Blue-white ceramic incense burner / ashtray-style pot","","","hold","","create_new","ảnh 2","Decorative or ceremonial ceramic item; exact use, size and barcode are unclear.","Owner should confirm product use/name, size, price and category before creating SKU."
"folder14-041","folder14-batch002","create_new_confirm","PETE8148.JPG","Hang Viet red incense sticks / Nhang Viet, Vietnam origin","","","create_new","","create_new","","Packaged retail item with importer label, but category and barcode details are not fully readable.","Create new SKU only after owner confirms category, EAN/barcode if any, price and whether incense is sold online."
"folder14-042","folder14-batch002","hold_confirm","PETE8149.JPG; PETE8150.JPG; PETE8151.JPG","Joss paper / ceremonial imitation money pack","","","hold","","create_new","ảnh 3","Religious/ceremonial non-food item; photos include a person/hair at frame edge and exact product label is unclear.","Owner should confirm product name, price and category; retake/crop clean image before publishing."
"folder14-043","folder14-batch002","hold_confirm","PETE8152.JPG; PETE8153.JPG","Gold dragon / altar hanging decoration piece","","","hold","","create_new","ảnh 1","Decorative/religious non-food item; exact product name and whether it is sold online are unclear.","Owner should confirm product name, set contents, price and category before creating SKU."
"folder14-044","folder14-batch002","ignore_or_supplies","PETE8161.JPG","Clear plastic lid / container cover, unlabelled","","","skip","","create_new","","Unbranded packaging/container part with no size, count or SKU details.","Skip unless owner confirms it is sold online and provides exact size/count/EAN and price."
